Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,invalid_flag
,,15Cm Christmas Glass Ball 20 Lights,12,2009-12-01 07:45:00,6.95,13085.0,UNITED KINGDOM,0
,79323P,Pink Cherry Lights,12,2009-12-01 07:45:00,6.75,13085.0,UNITED KINGDOM,0
,79323W,White Cherry Lights,12,2009-12-01 07:45:00,6.75,13085.0,UNITED KINGDOM,0
,48173C,Door Mat Black Flock,10,2009-12-01 09:06:00,5.95,13078.0,UNITED KINGDOM,0
,35004B,Set Of 3 Black Flying Ducks,12,2009-12-01 09:06:00,4.65,13078.0,UNITED KINGDOM,0
,84596F,Small Marshmallows Pink Bowl,8,2009-12-01 09:06:00,1.25,13078.0,UNITED KINGDOM,0
,84596L,Biscuits Small Bowl Light Blue,8,2009-12-01 09:06:00,1.25,13078.0,UNITED KINGDOM,0
,84507B,Stripes Design Monkey Doll,6,2009-12-01 09:08:00,2.55,15362.0,UNITED KINGDOM,0
,84970S,Hanging Heart Zinc T-Light Holder,12,2009-12-01 09:08:00,0.85,15362.0,UNITED KINGDOM,0
,84031A,Charlie+Lola Red Hot Water Bottle,56,2009-12-01 09:24:00,3.0,18102.0,UNITED KINGDOM,0
,84031B,Charlie Lola Blue Hot Water Bottle,56,2009-12-01 09:24:00,3.0,18102.0,UNITED KINGDOM,0
,84032A,Charlie+Lola Pink Hot Water Bottle,60,2009-12-01 09:24:00,1.9,18102.0,UNITED KINGDOM,0
,84032B,Charlie + Lola Red Hot Water Bottle,56,2009-12-01 09:24:00,1.9,18102.0,UNITED KINGDOM,0
,84519A,Tomato Charlie+Lola Coaster Set,56,2009-12-01 09:24:00,2.15,18102.0,UNITED KINGDOM,0
,84519B,Carrot Charlie+Lola Coaster Set,60,2009-12-01 09:24:00,2.4,18102.0,UNITED KINGDOM,0
,85132A,Charlie + Lola Biscuits Tins,60,2009-12-01 09:24:00,6.38,18102.0,UNITED KINGDOM,0
,85132C,Charlie And Lola Figures Tins,60,2009-12-01 09:24:00,6.4,18102.0,UNITED KINGDOM,0
,85183A,Charlie & Lola Wastepaper Bin Blue,60,2009-12-01 09:24:00,2.4,18102.0,UNITED KINGDOM,0
,85183B,Charlie & Lola Wastepaper Bin Flora,60,2009-12-01 09:24:00,2.4,18102.0,UNITED KINGDOM,0
,85014A,Black/Blue Dots Ruffled Umbrella,3,2009-12-01 09:28:00,5.95,12682.0,FRANCE,0
,85014B,Red/White Dots Ruffled Umbrella,3,2009-12-01 09:28:00,5.95,12682.0,FRANCE,0
,16161P,Wrap English Rose,25,2009-12-01 09:28:00,0.42,12682.0,FRANCE,0
,16169N,Wrap Blue Russian Folkart,25,2009-12-01 09:28:00,0.42,12682.0,FRANCE,0
,85232B,Set/3 Russian Doll Stacking Tins,6,2009-12-01 09:28:00,4.95,12682.0,FRANCE,0
,POST,Postage,3,2009-12-01 09:28:00,18.0,12682.0,FRANCE,0
,84029E,Red Woolly Hottie White Heart.,36,2009-12-01 09:44:00,2.95,18087.0,UNITED KINGDOM,0
,84899E,Yellow + Brown Bear Felt Purse Kit,12,2009-12-01 09:46:00,1.25,13635.0,UNITED KINGDOM,0
,85123A,White Hanging Heart T-Light Holder,6,2009-12-01 09:46:00,2.95,13635.0,UNITED KINGDOM,0
,84251J,"Greeting Card, The Black Cat",12,2009-12-01 09:46:00,0.42,13635.0,UNITED KINGDOM,0
,82001S,Vinyl Record Frame Silver,24,2009-12-01 09:50:00,3.39,14110.0,UNITED KINGDOM,0
,35916C,Pink Felt Hanging Heart W Flower,12,2009-12-01 09:57:00,0.85,17519.0,UNITED KINGDOM,0
,35916B,Blue Felt Hanging Heart W Flower,12,2009-12-01 09:57:00,0.85,17519.0,UNITED KINGDOM,0
,18097C,White Tall Porcelain T-Light Holder,6,2009-12-01 09:57:00,2.55,17519.0,UNITED KINGDOM,0
,85099B,Jumbo Bag Red White Spotty,20,2009-12-01 10:06:00,1.95,13758.0,UNITED KINGDOM,0
C489449,,Paper Bunting White Lace,-12,2009-12-01 10:33:00,2.95,16321.0,AUSTRALIA,0
C489449,85206A,Cream Felt Easter Egg Basket,-6,2009-12-01 10:33:00,1.65,16321.0,AUSTRALIA,0
C489449,84970S,Hanging Heart Zinc T-Light Holder,-24,2009-12-01 10:33:00,0.85,16321.0,AUSTRALIA,0
,85206A,Cream Felt Easter Egg Basket,6,2009-12-01 10:36:00,1.65,16321.0,AUSTRALIA,0
C489459,90200A,Purple Sweetheart Bracelet,-3,2009-12-01 10:44:00,4.25,17592.0,UNITED KINGDOM,0
C489459,90200D,Pink Sweetheart Bracelet,-3,2009-12-01 10:44:00,4.25,17592.0,UNITED KINGDOM,0
C489459,90200B,Black Sweetheart Bracelet,-3,2009-12-01 10:44:00,4.25,17592.0,UNITED KINGDOM,0
C489459,90200E,Green Sweetheart Bracelet,-3,2009-12-01 10:44:00,4.25,17592.0,UNITED KINGDOM,0
C489459,90200C,Blue Sweetheart Bracelet,-3,2009-12-01 10:44:00,4.25,17592.0,UNITED KINGDOM,0
C489459,90185C,Black Diamante Expandable Ring,-3,2009-12-01 10:44:00,4.25,17592.0,UNITED KINGDOM,0
C489459,90185B,Amethyst Diamante Expandable Ring,-3,2009-12-01 10:44:00,4.25,17592.0,UNITED KINGDOM,0
C489459,90003C,Midnight Blue Pair Heart Hair Slide,-3,2009-12-01 10:44:00,3.75,17592.0,UNITED KINGDOM,0
C489459,90003D,Crystal Pair Heart Hair Slides,-3,2009-12-01 10:44:00,3.75,17592.0,UNITED KINGDOM,0
C489459,90003B,Rose Colour Pair Heart Hair Slides,-3,2009-12-01 10:44:00,3.75,17592.0,UNITED KINGDOM,0
C489459,90209C,Pink Enamel+Glass Hair Comb,-3,2009-12-01 10:44:00,2.1,17592.0,UNITED KINGDOM,0
C489459,90209A,Purple Enamel+Glass Hair Comb,-3,2009-12-01 10:44:00,2.1,17592.0,UNITED KINGDOM,0
C489459,90082D,Diamante Bow Brooch Black Colour,-2,2009-12-01 10:44:00,6.35,17592.0,UNITED KINGDOM,0
,79323S,Silver Cherry Lights,4,2009-12-01 10:46:00,6.75,16167.0,UNITED KINGDOM,0
,85071A,Blue Charlie+Lola Personal Doorsign,6,2009-12-01 10:49:00,2.95,17865.0,UNITED KINGDOM,0
,85071B,Red Charlie+Lola Personal Doorsign,6,2009-12-01 10:49:00,2.95,17865.0,UNITED KINGDOM,0
,82494L,Wooden Frame Antique White,6,2009-12-01 10:49:00,2.95,17865.0,UNITED KINGDOM,0
,90200D,Pink Sweetheart Bracelet,3,2009-12-01 10:49:00,4.25,17592.0,UNITED KINGDOM,0
,90200E,Green Sweetheart Bracelet,3,2009-12-01 10:49:00,4.25,17592.0,UNITED KINGDOM,0
,90200A,Purple Sweetheart Bracelet,3,2009-12-01 10:49:00,4.25,17592.0,UNITED KINGDOM,0
,90200C,Blue Sweetheart Bracelet,3,2009-12-01 10:49:00,4.25,17592.0,UNITED KINGDOM,0
,90200B,Black Sweetheart Bracelet,3,2009-12-01 10:49:00,4.25,17592.0,UNITED KINGDOM,0
,90185C,Black Diamante Expandable Ring,3,2009-12-01 10:49:00,4.25,17592.0,UNITED KINGDOM,0
,90185B,Amethyst Diamante Expandable Ring,3,2009-12-01 10:49:00,4.25,17592.0,UNITED KINGDOM,0
,90003C,Midnight Blue Pair Heart Hair Slide,3,2009-12-01 10:49:00,3.75,17592.0,UNITED KINGDOM,0
,90003D,Crystal Pair Heart Hair Slides,3,2009-12-01 10:49:00,3.75,17592.0,UNITED KINGDOM,0
,90003B,Rose Colour Pair Heart Hair Slides,3,2009-12-01 10:49:00,3.75,17592.0,UNITED KINGDOM,0
,90209C,Pink Enamel+Glass Hair Comb,3,2009-12-01 10:49:00,2.1,17592.0,UNITED KINGDOM,0
,90209A,Purple Enamel+Glass Hair Comb,3,2009-12-01 10:49:00,2.1,17592.0,UNITED KINGDOM,0
,90082D,Diamante Bow Brooch Black Colour,2,2009-12-01 10:49:00,6.35,17592.0,UNITED KINGDOM,0
,72760B,Vintage Cream 3 Basket Cake Stand,4,2009-12-01 10:52:00,9.95,13767.0,UNITED KINGDOM,0
C489476,,Feltcraft 6 Flower Friends,-6,2009-12-01 10:55:00,2.1,13293.0,UNITED KINGDOM,0
,84327A,Pink Jumper Larry The Lamb,2,2009-12-01 10:59:00,2.1,17238.0,UNITED KINGDOM,0
,84997D,Pink 3 Piece Mini Dots Cutlery Set,4,2009-12-01 10:59:00,3.75,17238.0,UNITED KINGDOM,0
,84997C,Blue 3 Piece Mini Dots Cutlery Set,4,2009-12-01 10:59:00,3.75,17238.0,UNITED KINGDOM,0
,90121B,Vintage Rose Bead Bracelet Blue,4,2009-12-01 10:59:00,4.25,17238.0,UNITED KINGDOM,0
,90175A,White Glass Chunky Charm Bracelet,2,2009-12-01 10:59:00,8.95,17238.0,UNITED KINGDOM,0
,90195B,Black Gemstone Bracelet,2,2009-12-01 10:59:00,8.95,17238.0,UNITED KINGDOM,0
C489503,,Dairy Maid Ceramic Butter Dish,-2,2009-12-01 11:04:00,4.25,16011.0,UNITED KINGDOM,0
C489504,,Kiss Reindeer Scandinavian Stocking,-6,2009-12-01 11:10:00,2.55,13916.0,UNITED KINGDOM,0
,47566B,Tea Time Party Bunting,5,2009-12-01 11:17:00,4.65,15712.0,UNITED KINGDOM,0
,47591D,Pink Fairy Cake Child'S Apron,50,2009-12-01 11:21:00,1.65,15311.0,UNITED KINGDOM,0
,82613D,Metal Sign Cupcake Single Hook,2,2009-12-01 11:21:00,1.25,15311.0,UNITED KINGDOM,0
,84849B,Fairy Soap Soap Holder,2,2009-12-01 11:21:00,1.69,15311.0,UNITED KINGDOM,0
,84997A,Green 3 Piece Mini Dots Cutlery Set,3,2009-12-01 11:21:00,3.75,15311.0,UNITED KINGDOM,0
,16207A,Pink Strawberry Handbag,2,2009-12-01 11:34:00,2.95,16329.0,UNITED KINGDOM,0
