,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
289,489488,22125,UNION JACK HOT WATER BOTTLE ,2,2009-12-01 10:59:00,5.95,17238.0,United Kingdom
299,489488,22125,UNION JACK HOT WATER BOTTLE ,1,2009-12-01 10:59:00,5.95,17238.0,United Kingdom
362,489517,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
363,489517,21912,VINTAGE SNAKES & LADDERS,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
365,489517,21821,GLITTER STAR GARLAND WITH BELLS ,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
367,489517,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,2009-12-01 11:34:00,0.65,16329.0,United Kingdom
368,489517,22130,PARTY CONE CHRISTMAS DECORATION ,6,2009-12-01 11:34:00,0.85,16329.0,United Kingdom
371,489517,21912,VINTAGE SNAKES & LADDERS,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
372,489517,21791,VINTAGE HEADS AND TAILS CARD GAME ,6,2009-12-01 11:34:00,1.25,16329.0,United Kingdom
373,489517,21790,VINTAGE SNAP CARDS,4,2009-12-01 11:34:00,0.85,16329.0,United Kingdom
379,489517,21491,SET OF THREE VINTAGE GIFT WRAPS,1,2009-12-01 11:34:00,1.95,16329.0,United Kingdom
383,489517,22130,PARTY CONE CHRISTMAS DECORATION ,6,2009-12-01 11:34:00,0.85,16329.0,United Kingdom
384,489517,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,2009-12-01 11:34:00,0.65,16329.0,United Kingdom
385,489517,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
386,489517,21821,GLITTER STAR GARLAND WITH BELLS ,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
388,489517,84951A,S/4 PISTACHIO LOVEBIRD COASTERS,1,2009-12-01 11:34:00,2.55,16329.0,United Kingdom
390,489517,84951A,S/4 PISTACHIO LOVEBIRD COASTERS,1,2009-12-01 11:34:00,2.55,16329.0,United Kingdom
391,489517,21491,SET OF THREE VINTAGE GIFT WRAPS,1,2009-12-01 11:34:00,1.95,16329.0,United Kingdom
392,489517,21791,VINTAGE HEADS AND TAILS CARD GAME ,1,2009-12-01 11:34:00,1.25,16329.0,United Kingdom
393,489517,21790,VINTAGE SNAP CARDS,1,2009-12-01 11:34:00,0.85,16329.0,United Kingdom
394,489517,21912,VINTAGE SNAKES & LADDERS,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
628,489529,48129,DOOR MAT TOPIARY,1,2009-12-01 11:51:00,6.75,17984.0,United Kingdom
630,489529,22030,SWALLOWS GREETING CARD,1,2009-12-01 11:51:00,0.42,17984.0,United Kingdom
634,489529,22028,PENNY FARTHING BIRTHDAY CARD,12,2009-12-01 11:51:00,0.42,17984.0,United Kingdom
643,489529,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2009-12-01 11:51:00,2.95,17984.0,United Kingdom
653,489529,22030,SWALLOWS GREETING CARD,12,2009-12-01 11:51:00,0.42,17984.0,United Kingdom
656,489529,22036,DINOSAUR BIRTHDAY CARD,12,2009-12-01 11:51:00,0.42,17984.0,United Kingdom
657,489529,22028,PENNY FARTHING BIRTHDAY CARD,12,2009-12-01 11:51:00,0.42,17984.0,United Kingdom
658,489529,22036,DINOSAUR BIRTHDAY CARD,12,2009-12-01 11:51:00,0.42,17984.0,United Kingdom
669,489529,48129,DOOR MAT TOPIARY,1,2009-12-01 11:51:00,6.75,17984.0,United Kingdom
673,489529,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,3,2009-12-01 11:51:00,2.95,17984.0,United Kingdom
716,489533,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,2009-12-01 12:02:00,1.25,16011.0,United Kingdom
721,489533,22073,RETRO SPOT STORAGE JAR,1,2009-12-01 12:02:00,3.75,16011.0,United Kingdom
723,489533,22073,RETRO SPOT STORAGE JAR,1,2009-12-01 12:02:00,3.75,16011.0,United Kingdom
725,489533,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,2009-12-01 12:02:00,1.25,16011.0,United Kingdom
729,489533,22118,JOY WOODEN BLOCK LETTERS,1,2009-12-01 12:02:00,4.95,16011.0,United Kingdom
732,489533,22118,JOY WOODEN BLOCK LETTERS,2,2009-12-01 12:02:00,4.95,16011.0,United Kingdom
735,C489535,D,Discount,-1,2009-12-01 12:11:00,9.0,15299.0,United Kingdom
736,C489535,D,Discount,-1,2009-12-01 12:11:00,19.0,15299.0,United Kingdom
744,489536,21809,CHRISTMAS HANGING TREE WITH BELL,1,2009-12-01 12:13:00,1.25,16393.0,United Kingdom
745,489536,21809,CHRISTMAS HANGING TREE WITH BELL,1,2009-12-01 12:13:00,1.25,16393.0,United Kingdom
748,489536,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2009-12-01 12:13:00,2.95,16393.0,United Kingdom
754,489536,85033S,SET/6 SILVER REINDEER T-LIGHTS,1,2009-12-01 12:13:00,1.95,16393.0,United Kingdom
756,489536,22185,SLATE TILE NATURAL HANGING,2,2009-12-01 12:13:00,1.65,16393.0,United Kingdom
757,489536,21786,RAIN HAT WITH RED SPOTS,1,2009-12-01 12:13:00,0.42,16393.0,United Kingdom
766,489536,21791,VINTAGE HEADS AND TAILS CARD GAME ,2,2009-12-01 12:13:00,1.25,16393.0,United Kingdom
768,489536,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2,2009-12-01 12:13:00,2.95,16393.0,United Kingdom
772,489536,21034,REX CASH+CARRY JUMBO SHOPPER,1,2009-12-01 12:13:00,0.95,16393.0,United Kingdom
776,489536,22107,PIZZA PLATE IN BOX,1,2009-12-01 12:13:00,3.75,16393.0,United Kingdom
784,489536,17164D,ASS COL SMALL SAND FROG P'WEIGHT,1,2009-12-01 12:13:00,0.42,16393.0,United Kingdom
785,489536,21791,VINTAGE HEADS AND TAILS CARD GAME ,6,2009-12-01 12:13:00,1.25,16393.0,United Kingdom
787,489536,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,1,2009-12-01 12:13:00,2.55,16393.0,United Kingdom
797,489536,22142,CHRISTMAS CRAFT WHITE FAIRY ,1,2009-12-01 12:13:00,1.45,16393.0,United Kingdom
799,489536,22142,CHRISTMAS CRAFT WHITE FAIRY ,1,2009-12-01 12:13:00,1.45,16393.0,United Kingdom
800,489536,22147,FELTCRAFT BUTTERFLY HEARTS,2,2009-12-01 12:13:00,1.45,16393.0,United Kingdom
808,489536,17164D,ASS COL SMALL SAND FROG P'WEIGHT,1,2009-12-01 12:13:00,0.42,16393.0,United Kingdom
809,489536,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,1,2009-12-01 12:13:00,2.55,16393.0,United Kingdom
810,489536,21791,VINTAGE HEADS AND TAILS CARD GAME ,2,2009-12-01 12:13:00,1.25,16393.0,United Kingdom
816,489536,21650,ASSORTED TUTTI FRUTTI BRACELET,1,2009-12-01 12:13:00,0.65,16393.0,United Kingdom
817,489536,22142,CHRISTMAS CRAFT WHITE FAIRY ,1,2009-12-01 12:13:00,1.45,16393.0,United Kingdom
818,489536,22147,FELTCRAFT BUTTERFLY HEARTS,1,2009-12-01 12:13:00,1.45,16393.0,United Kingdom
820,489536,21650,ASSORTED TUTTI FRUTTI BRACELET,1,2009-12-01 12:13:00,0.65,16393.0,United Kingdom
821,489536,85227,SET/6 3D KIT CARDS FOR KIDS,1,2009-12-01 12:13:00,0.85,16393.0,United Kingdom
822,489536,85227,SET/6 3D KIT CARDS FOR KIDS,3,2009-12-01 12:13:00,0.85,16393.0,United Kingdom
824,489536,21791,VINTAGE HEADS AND TAILS CARD GAME ,1,2009-12-01 12:13:00,1.25,16393.0,United Kingdom
